,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
0,memcpy,14826.23,14987.88,74451352,74451352,100.0,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
1,fastlz 0.5.0 -1,148.26,404.74,74451352,42860798,57.57,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
2,fastlz 0.5.0 -2,159.75,402.64,74451352,41766541,56.1,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
3,kanzi 2.3 -1,142.26,785.56,74451352,34381439,46.18,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
4,kanzi 2.3 -2,123.74,277.03,74451352,28649622,38.48,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
5,kanzi 2.3 -3,81.63,284.63,74451352,28548023,38.34,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
6,lizard 2.1 -10,330.47,2589.74,74451352,41664925,55.96,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
7,lizard 2.1 -11,201.12,2678.88,74451352,38653517,51.92,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
8,lizard 2.1 -12,113.66,2764.48,74451352,36516668,49.05,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
9,lizard 2.1 -13,73.77,2700.79,74451352,35712729,47.97,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
10,lizard 2.1 -14,67.19,2725.47,74451352,35249284,47.35,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
11,lz4 1.10.0,384.31,2497.56,74451352,41286804,55.45,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
12,lz4 1.10.0 --fast -3,467.61,2518.74,74451352,44638021,59.96,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
13,lz4 1.10.0 --fast -17,813.46,3371.41,74451352,55552296,74.62,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
14,lzav 4.22 -1,349.37,1668.21,74451352,38577197,51.82,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
15,lzav 4.22 -2,59.07,1481.35,74451352,33540462,45.05,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
16,lzf 3.6 -0,201.67,346.77,74451352,42136205,56.6,micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
