Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
./micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
./jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.172230,0.211665
./hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
./hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.180770
./micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.389100,3.189885,0.178990
./jmh-x64-prof-text,84256600,0.966333,3901810.071317,0.392403,3.197607,0.185381
./spring-petclinic-x64-O3-text,1319517000,0.967658,58717474.499382,0.394526,3.228131,0.210372
./micronaut-conferences-x64-prof-text,175243096,0.965039,8424593.384318,0.390371,3.183133,0.173852
./quarkus-tika-x64-O3-text,649542984,0.967792,28785223.811414,0.394743,3.223940,0.213987
./micronaut-shopcart-x64-prof-text,282866520,0.965967,13240325.850302,0.391825,3.220297,0.172596
./quarkus-tika-x64-O2-text,395369800,0.968857,16946289.581920,0.396484,3.197585,0.199075
./hello-world-x64-O3-text,32922032,0.968730,1416822.190565,0.396275,3.200332,0.225052
./fork-join-pool-x64-O2-text,23253424,0.966548,1069987.896384,0.392745,3.198218,0.213122
./hello-world-x64-O2-text,23081904,0.966600,1060465.304353,0.392828,3.197909,0.213564
./fork-join-pool-isolate-x64-O2-text,23214000,0.966581,1067143.068915,0.392797,3.202068,0.213474
./hello-isolate-x64-O3-text,33052080,0.968750,1421523.466605,0.396307,3.198774,0.224926
./micronaut-conferences-x64-O3-text,172372168,0.964183,8487655.455630,0.389049,3.190678,0.179489
./micronaut-conferences-isolate-x64-prof-text,175298904,0.964844,8473777.935119,0.390069,3.183356,0.173531
./fork-join-pool-x64-O3-text,32998320,0.968749,1419242.442830,0.396306,3.198377,0.224965
./micronaut-conferences-isolate-x64-O3-text,172427976,0.964288,8465887.799956,0.389210,3.190097,0.179349
./jmh-x64-O3-text,135630536,0.969679,5661014.381469,0.397850,3.211454,0.220850
./hello-world-x64-prof-text,22930968,0.959436,1277363.118095,0.381991,3.239793,0.180926
./spring-petclinic-x64-prof-text,690888536,0.967302,31080219.747137,0.393951,3.200091,0.171692
./micronaut-shopcart-x64-O2-text,310740168,0.968183,13604941.155854,0.395379,3.209015,0.197346
./spring-petclinic-x64-O2-text,744248648,0.970200,30533858.393636,0.398725,3.187346,0.195389
./fork-join-pool-isolate-x64-O3-text,33195440,0.968664,1431557.980489,0.396167,3.196213,0.225642
./fork-join-pool-isolate-x64-prof-text,23034904,0.959353,1285738.634337,0.381872,3.239722,0.180915
./fork-join-pool-x64-prof-text,22972440,0.959552,1276056.209941,0.382158,3.240673,0.181404
./micronaut-conferences-x64-O2-text,172374216,0.964113,8504322.465825,0.388941,3.188481,0.179320
./quarkus-tika-x64-prof-text,371465560,0.964800,17978530.418255,0.390001,3.215066,0.173157
