Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy,28816.78,27866.99,119215,119215,100.00,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
fastlz 0.5.0 -1,158.79,312.37,119215,71651,60.10,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
fastlz 0.5.0 -2,142.59,303.82,119215,70935,59.50,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
kanzi 2.4.0 -1,82.17,744.60,119215,62890,52.75,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
kanzi 2.4.0 -2,88.82,377.56,119215,52223,43.81,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
kanzi 2.4.0 -3,44.31,112.21,119215,47165,39.56,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lizard 2.1 -10,222.14,3434.11,119215,77127,64.70,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lizard 2.1 -11,185.98,2645.17,119215,67378,56.52,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lizard 2.1 -12,74.81,2845.84,119215,62830,52.70,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lizard 2.1 -13,48.44,2960.98,119215,60793,50.99,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lizard 2.1 -14,42.50,3039.49,119215,59541,49.94,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lz4 1.10.0,273.19,2601.87,119215,77070,64.65,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lz4 1.10.0 --fast -3,352.14,3351.37,119215,84669,71.02,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lz4 1.10.0 --fast -17,2029.23,9527.29,119215,108794,91.26,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lzav 4.22 -1,233.80,1318.65,119215,71972,60.37,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lzav 4.22 -2,47.83,1232.85,119215,63013,52.86,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lzf 3.6 -0,156.12,273.15,119215,73708,61.83,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lzf 3.6 -1,162.44,294.30,119215,68764,57.68,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lzfse 2017-03-08,47.74,351.44,119215,48132,40.37,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lzo1b 2.10 -1,95.79,256.87,119215,70469,59.11,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lzo1c 2.10 -1,99.63,263.08,119215,71988,60.39,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lzof 2.10 -1,86.78,239.25,119215,73799,61.90,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lzo1x 2.10 -1,189.90,265.69,119215,73480,61.64,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lzo1y 2.10 -1,195.15,276.08,119215,75174,63.06,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lzsse4fast 2019-04-18,111.19,2326.74,119215,63323,53.12,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lzsse8 2019-04-18 -1,12.22,2555.57,119215,56211,47.15,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
lzvn 2017-03-08,31.29,480.24,119215,59555,49.96,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
quicklz 1.5.0 -1,203.25,310.95,119215,69455,58.26,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
quicklz 1.5.0 -2,90.07,287.65,119215,60666,50.89,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
snappy 1.2.2,229.46,497.61,119215,73877,61.97,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
zstd 1.5.7 -1,199.60,854.96,119215,52399,43.95,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
zstd 1.5.7 -2,145.68,693.23,119215,49911,41.87,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
zstd 1.5.7 -3,129.32,757.66,119215,48379,40.58,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,120.60,636.49,119215,49083,41.17,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,64.46,627.64,119215,47782,40.08,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
memcpy,27935.29,28726.46,124759,124759,100.00,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
fastlz 0.5.0 -1,160.31,312.90,124759,74802,59.96,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
fastlz 0.5.0 -2,142.83,302.33,124759,74177,59.46,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
kanzi 2.4.0 -1,81.73,729.44,124759,65344,52.38,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
kanzi 2.4.0 -2,90.45,371.64,124759,53798,43.12,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
kanzi 2.4.0 -3,45.81,117.92,124759,49138,39.39,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
lizard 2.1 -10,218.01,3319.29,124759,80044,64.16,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
lizard 2.1 -11,186.39,2604.74,124759,69902,56.03,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
lizard 2.1 -12,75.90,2765.60,124759,65313,52.35,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
lizard 2.1 -13,48.26,2864.40,124759,63192,50.65,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
lizard 2.1 -14,42.14,2956.02,124759,61777,49.52,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
lz4 1.10.0,268.74,2510.80,124759,79993,64.12,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
lz4 1.10.0 --fast -3,329.99,3100.30,124759,88112,70.63,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
lz4 1.10.0 --fast -17,1847.30,9194.41,124759,114383,91.68,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
lzav 4.22 -1,233.11,1230.66,124759,74622,59.81,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
lzav 4.22 -2,48.24,1153.78,124759,65462,52.47,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
lzf 3.6 -0,153.04,272.14,124759,77777,62.34,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
lzf 3.6 -1,161.49,294.77,124759,72524,58.13,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
