Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy,15635.25,15667.07,7251944,7251944,100.00,silesia//sao
fastlz 0.5.0 -1,97.42,451.25,7251944,6525733,89.99,silesia//sao
fastlz 0.5.0 -2,164.02,442.45,7251944,6526165,89.99,silesia//sao
kanzi 2.3 -1,113.42,1049.50,7251944,6091320,84.00,silesia//sao
kanzi 2.3 -2,89.32,192.45,7251944,5588006,77.06,silesia//sao
kanzi 2.3 -3,49.28,193.79,7251944,5664997,78.12,silesia//sao
lizard 2.1 -10,295.82,2807.90,7251944,6792720,93.67,silesia//sao
lizard 2.1 -11,104.83,1919.78,7251944,6132582,84.56,silesia//sao
lizard 2.1 -12,80.81,1956.15,7251944,6049569,83.42,silesia//sao
lizard 2.1 -13,51.88,1926.20,7251944,5971380,82.34,silesia//sao
lizard 2.1 -14,48.19,1957.20,7251944,5934257,81.83,silesia//sao
lz4 1.10.0,390.86,3222.66,7251944,6790273,93.63,silesia//sao
lz4 1.10.0 --fast -3,699.41,3416.69,7251944,6930690,95.57,silesia//sao
lz4 1.10.0 --fast -17,1444.86,8559.03,7251944,7183536,99.06,silesia//sao
lzav 4.22 -1,296.90,1879.22,7251944,6225185,85.84,silesia//sao
lzav 4.22 -2,44.50,1871.93,7251944,5831978,80.42,silesia//sao
lzf 3.6 -0,179.56,410.93,7251944,6325572,87.23,silesia//sao
lzf 3.6 -1,164.31,404.22,7251944,6280222,86.60,silesia//sao
lzfse 2017-03-08,59.50,402.84,7251944,5441014,75.03,silesia//sao
lzo1b 2.10 -1,66.37,481.51,7251944,6324232,87.21,silesia//sao
lzo1c 2.10 -1,66.16,541.30,7251944,6285989,86.68,silesia//sao
lzof 2.10 -1,62.75,440.01,7251944,6366762,87.79,silesia//sao
lzo1x 2.10 -1,271.06,596.52,7251944,6469903,89.22,silesia//sao
lzo1y 2.10 -1,274.60,630.56,7251944,6567084,90.56,silesia//sao
lzsse4fast 2019-04-18,126.24,2205.01,7251944,6305407,86.95,silesia//sao
lzsse8 2019-04-18 -1,21.00,3234.27,7251944,5826841,80.35,silesia//sao
lzvn 2017-03-08,35.91,584.03,7251944,6011856,82.90,silesia//sao
quicklz 1.5.0 -1,252.75,220.49,7251944,6498301,89.61,silesia//sao
quicklz 1.5.0 -2,101.65,177.02,7251944,6121309,84.41,silesia//sao
snappy 1.2.1,298.07,861.16,7251944,6437634,88.77,silesia//sao
zstd 1.5.7 -1,256.26,614.90,7251944,6250010,86.18,silesia//sao
zstd 1.5.7 -2,202.51,567.77,7251944,5804668,80.04,silesia//sao
zstd 1.5.7 -3,126.54,525.43,7251944,5527504,76.22,silesia//sao
zstd 1.5.7 -4,106.24,531.45,7251944,5396887,74.42,silesia//sao
zstd 1.5.7 -5,63.43,601.28,7251944,5305353,73.16,silesia//sao
memcpy,16242.11,16271.86,33553445,33553445,100.00,silesia//nci
fastlz 0.5.0 -1,460.41,951.98,33553445,6947358,20.71,silesia//nci
fastlz 0.5.0 -2,395.57,986.20,33553445,6583289,19.62,silesia//nci
kanzi 2.3 -1,134.43,1029.05,33553445,3555318,10.60,silesia//nci
kanzi 2.3 -2,128.26,653.69,33553445,2800279,8.35,silesia//nci
kanzi 2.3 -3,89.21,677.52,33553445,2745187,8.18,silesia//nci
lizard 2.1 -10,605.24,3047.71,33553445,5545810,16.53,silesia//nci
lizard 2.1 -11,608.11,3073.91,33553445,5340156,15.92,silesia//nci
lizard 2.1 -12,197.24,2974.11,33553445,4808891,14.33,silesia//nci
lizard 2.1 -13,118.03,3102.66,33553445,4468122,13.32,silesia//nci
lizard 2.1 -14,98.47,3198.11,33553445,4192439,12.49,silesia//nci
lz4 1.10.0,659.93,3553.23,33553445,5533040,16.49,silesia//nci
lz4 1.10.0 --fast -3,709.60,3512.49,33553445,5684097,16.94,silesia//nci
lz4 1.10.0 --fast -17,777.57,3229.58,33553445,7172731,21.38,silesia//nci
lzav 4.22 -1,686.94,3381.59,33553445,4385381,13.07,silesia//nci
lzav 4.22 -2,141.96,3992.79,33553445,3470259,10.34,silesia//nci
lzf 3.6 -0,444.88,552.68,33553445,7263009,21.65,silesia//nci
lzf 3.6 -1,470.97,579.17,33553445,6936021,20.67,silesia//nci
lzfse 2017-03-08,126.56,1283.69,33553445,3221568,9.60,silesia//nci
lzo1b 2.10 -1,386.08,857.16,33553445,5880843,17.53,silesia//nci
lzo1c 2.10 -1,411.96,828.42,33553445,6215294,18.52,silesia//nci
lzof 2.10 -1,374.50,855.23,33553445,6310179,18.81,silesia//nci
lzo1x 2.10 -1,652.08,835.97,33553445,6282199,18.72,silesia//nci
lzo1y 2.10 -1,649.92,847.21,33553445,6225466,18.55,silesia//nci
lzsse4fast 2019-04-18,384.22,4897.76,33553445,5711408,17.02,silesia//nci
lzsse8 2019-04-18 -1,14.66,5445.69,33553445,4558097,13.58,silesia//nci
lzvn 2017-03-08,77.77,1224.62,33553445,4715644,14.05,silesia//nci
quicklz 1.5.0 -1,544.30,818.40,33553445,6160636,18.36,silesia//nci
quicklz 1.5.0 -2,309.06,966.47,33553445,4867322,14.51,silesia//nci
snappy 1.2.1,619.61,1637.24,33553445,6121795,18.24,silesia//nci
zstd 1.5.7 -1,584.49,1543.80,33553445,2848578,8.49,silesia//nci
zstd 1.5.7 -2,577.81,1514.73,33553445,2887262,8.60,silesia//nci
zstd 1.5.7 -3,505.76,1514.53,33553445,2833843,8.45,silesia//nci
zstd 1.5.7 -4,483.88,1517.26,33553445,2834898,8.45,silesia//nci
zstd 1.5.7 -5,193.22,1591.71,33553445,2578416,7.68,silesia//nci
memcpy,19705.53,19453.75,21606400,21606400,100.00,silesia//samba
fastlz 0.5.0 -1,227.26,548.76,21606400,8327938,38.54,silesia//samba
fastlz 0.5.0 -2,241.87,582.70,21606400,7651048,35.41,silesia//samba
kanzi 2.3 -1,119.98,883.21,21606400,6082740,28.15,silesia//samba
kanzi 2.3 -2,109.03,389.31,21606400,5240570,24.25,silesia//samba
kanzi 2.3 -3,76.46,191.32,21606400,4887334,22.62,silesia//samba
lizard 2.1 -10,382.90,2766.97,21606400,7927178,36.69,silesia//samba
lizard 2.1 -11,315.86,2788.99,21606400,7513035,34.77,silesia//samba
lizard 2.1 -12,134.37,2773.02,21606400,6688047,30.95,silesia//samba
lizard 2.1 -13,85.56,2770.40,21606400,6498928,30.08,silesia//samba
lizard 2.1 -14,78.25,2783.54,21606400,6390776,29.58,silesia//samba
lz4 1.10.0,418.63,2849.85,21606400,7716839,35.72,silesia//samba
lz4 1.10.0 --fast -3,435.47,2790.86,21606400,8250343,38.18,silesia//samba
lz4 1.10.0 --fast -17,610.04,2706.84,21606400,11109978,51.42,silesia//samba
lzav 4.22 -1,383.61,2154.10,21606400,6400026,29.62,silesia//samba
lzav 4.22 -2,88.60,2381.41,21606400,5550000,25.69,silesia//samba
lzf 3.6 -0,240.13,409.80,21606400,8616496,39.88,silesia//samba
lzf 3.6 -1,242.73,424.53,21606400,8208471,37.99,silesia//samba
lzfse 2017-03-08,80.64,627.17,21606400,5208850,24.11,silesia//samba
lzo1b 2.10 -1,179.86,490.52,21606400,7515538,34.78,silesia//samba
lzo1c 2.10 -1,181.01,484.10,21606400,7983082,36.95,silesia//samba
lzof 2.10 -1,165.85,466.29,21606400,8070021,37.35,silesia//samba
lzo1x 2.10 -1,393.97,485.45,21606400,8017488,37.11,silesia//samba
lzo1y 2.10 -1,397.14,492.44,21606400,8011863,37.08,silesia//samba
lzsse4fast 2019-04-18,221.31,3524.46,21606400,7601765,35.18,silesia//samba
lzsse8 2019-04-18 -1,14.88,4175.83,21606400,6433602,29.78,silesia//samba
lzvn 2017-03-08,52.92,818.82,21606400,6288646,29.11,silesia//samba
quicklz 1.5.0 -1,350.65,489.50,21606400,7309452,33.83,silesia//samba
quicklz 1.5.0 -2,175.29,471.18,21606400,6548190,30.31,silesia//samba
snappy 1.2.1,363.96,1090.09,21606400,8014394,37.09,silesia//samba
zstd 1.5.7 -1,351.38,1200.04,21606400,5487600,25.40,silesia//samba
zstd 1.5.7 -2,317.56,1153.88,21606400,5218846,24.15,silesia//samba
zstd 1.5.7 -3,261.92,1183.66,21606400,4955117,22.93,silesia//samba
zstd 1.5.7 -4,239.14,1187.70,21606400,4917301,22.76,silesia//samba
zstd 1.5.7 -5,127.79,1135.05,21606400,4723938,21.86,silesia//samba
memcpy,14974.51,15244.55,10192446,10192446,100.00,silesia//dickens
fastlz 0.5.0 -1,169.26,319.40,10192446,6057734,59.43,silesia//dickens
fastlz 0.5.0 -2,151.27,313.39,10192446,5995417,58.82,silesia//dickens
kanzi 2.3 -1,91.33,731.76,10192446,4514414,44.29,silesia//dickens
kanzi 2.3 -2,81.20,276.92,10192446,4076000,39.99,silesia//dickens
kanzi 2.3 -3,54.27,131.14,10192446,3284564,32.23,silesia//dickens
lizard 2.1 -10,234.90,3034.82,10192446,6431869,63.10,silesia//dickens
lizard 2.1 -11,152.79,2773.66,10192446,5459482,53.56,silesia//dickens
lizard 2.1 -12,78.93,2930.84,10192446,5038731,49.44,silesia//dickens
lizard 2.1 -13,51.37,3003.58,10192446,4836304,47.45,silesia//dickens
lizard 2.1 -14,44.11,3051.88,10192446,4700059,46.11,silesia//dickens
lz4 1.10.0,254.93,2539.29,10192446,6428742,63.07,silesia//dickens
lz4 1.10.0 --fast -3,295.74,2359.52,10192446,7082423,69.49,silesia//dickens
lz4 1.10.0 --fast -17,667.97,2471.83,10192446,9215415,90.41,silesia//dickens
lzav 4.22 -1,176.76,1320.28,10192446,4780313,46.90,silesia//dickens
lzav 4.22 -2,44.50,1633.06,10192446,4003817,39.28,silesia//dickens
lzf 3.6 -0,153.52,289.65,10192446,6329084,62.10,silesia//dickens
lzf 3.6 -1,162.13,312.92,10192446,5850777,57.40,silesia//dickens
lzfse 2017-03-08,49.48,393.00,10192446,3864220,37.91,silesia//dickens
lzo1b 2.10 -1,100.72,265.20,10192446,5859092,57.48,silesia//dickens
lzo1c 2.10 -1,104.99,269.59,10192446,6045330,59.31,silesia//dickens
lzof 2.10 -1,92.33,246.97,10192446,6235345,61.18,silesia//dickens
lzo1x 2.10 -1,193.12,258.54,10192446,6207702,60.90,silesia//dickens
lzo1y 2.10 -1,198.56,271.50,10192446,6376329,62.56,silesia//dickens
lzsse4fast 2019-04-18,142.06,2764.04,10192446,5161515,50.64,silesia//dickens
lzsse8 2019-04-18 -1,11.87,3034.12,10192446,4515350,44.30,silesia//dickens
lzvn 2017-03-08,29.99,471.34,10192446,5001004,49.07,silesia//dickens
quicklz 1.5.0 -1,216.29,331.40,10192446,5831353,57.21,silesia//dickens
quicklz 1.5.0 -2,95.28,315.35,10192446,4953617,48.60,silesia//dickens
snappy 1.2.1,186.23,560.78,10192446,6249045,61.31,silesia//dickens
zstd 1.5.7 -1,207.02,889.77,10192446,4261734,41.81,silesia//dickens
zstd 1.5.7 -2,154.77,795.91,10192446,3864999,37.92,silesia//dickens
zstd 1.5.7 -3,132.55,799.62,10192446,3663504,35.94,silesia//dickens
zstd 1.5.7 -4,120.19,805.62,10192446,3584538,35.17,silesia//dickens
zstd 1.5.7 -5,78.18,765.40,10192446,3529639,34.63,silesia//dickens
memcpy,15552.03,15434.60,5345280,5345280,100.00,silesia//xml
fastlz 0.5.0 -1,342.39,706.02,5345280,1385060,25.91,silesia//xml
fastlz 0.5.0 -2,315.26,742.76,5345280,1273649,23.83,silesia//xml
kanzi 2.3 -1,108.27,905.30,5345280,774835,14.50,silesia//xml
