Filename,0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,memcpy,21366.96,21383.33,1423360,1423360,100.0
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,fastlz 0.5.0 -1,127.0,350.33,1423360,941021,66.11
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,fastlz 0.5.0 -2,134.54,332.06,1423360,931815,65.47
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,kanzi 2.3 -1,103.97,500.93,1423360,838905,58.94
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,kanzi 2.3 -2,85.12,212.03,1423360,719773,50.57
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,kanzi 2.3 -3,71.11,240.17,1423360,731476,51.39
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lizard 2.1 -10,251.34,1384.41,1423360,944921,66.39
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lizard 2.1 -11,121.02,1290.81,1423360,890567,62.57
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lizard 2.1 -12,63.14,1333.33,1423360,853536,59.97
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lizard 2.1 -13,48.72,1330.95,1423360,839254,58.96
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lizard 2.1 -14,46.03,1337.58,1423360,832025,58.45
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lz4 1.10.0,371.0,2046.43,1423360,936348,65.78
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lz4 1.10.0 --fast -3,476.97,2183.56,1423360,1014108,71.25
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lz4 1.10.0 --fast -17,868.76,3547.93,1423360,1201998,84.45
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lzav 4.22 -1,247.14,1671.5,1423360,925729,65.04
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lzav 4.22 -2,43.53,1407.21,1423360,840257,59.03
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lzf 3.6 -0,155.79,327.31,1423360,932209,65.49
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lzf 3.6 -1,163.73,323.49,1423360,919286,64.59
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lzfse 2017-03-08,44.0,325.85,1423360,698946,49.11
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lzo1b 2.10 -1,88.74,341.35,1423360,914041,64.22
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lzo1c 2.10 -1,102.38,351.02,1423360,909629,63.91
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lzof 2.10 -1,90.62,333.45,1423360,888282,62.41
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lzo1x 2.10 -1,307.42,375.87,1423360,916530,64.39
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lzo1y 2.10 -1,309.58,378.53,1423360,917364,64.45
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lzsse4fast 2019-04-18,112.43,1649.0,1423360,913490,64.18
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lzsse8 2019-04-18 -1,16.55,2062.55,1423360,821426,57.71
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,lzvn 2017-03-08,33.93,431.33,1423360,734869,51.63
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,quicklz 1.5.0 -1,225.15,286.55,1423360,884106,62.11
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,quicklz 1.5.0 -2,106.33,248.12,1423360,822525,57.79
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,snappy 1.2.1,241.42,631.38,1423360,936522,65.8
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,zstd 1.5.7 -1,221.16,697.4,1423360,771182,54.18
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,zstd 1.5.7 -2,170.55,650.58,1423360,737088,51.79
./regex-globalization-dotnet-linux-x64-static-sf.tar,1,11386880,0.964397,557379.372308,0.389378,3.358199,0.205017,zstd 1.5.7 -3,115.71,603.7,1423360,704971,49.53
