Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
./hello-isolate-x64-O3,66602624,0.907274,8376370.336955,0.322682,3.514066,0.278089
./hello-isolate-x64-O2,56641152,0.884956,8790599.579120,0.303024,3.578510,0.288039
./hello-isolate-x64-prof,61340032,0.887778,9292735.215731,0.305388,3.630727,0.254215
./fork-join-pool-isolate-x64-O3,66602624,0.908370,8279572.263126,0.323710,3.514227,0.277594
./fork-join-pool-isolate-x64-O2,56641152,0.885441,8754577.351806,0.303428,3.573514,0.286582
./fork-join-pool-isolate-x64-prof,61354880,0.887528,9315134.608944,0.305177,3.627621,0.252109
./micronaut-conferences-x64-O3,408439744,0.903925,53180832.582650,0.319580,3.531221,0.244158
./micronaut-conferences-x64-prof,479452032,0.922699,50454520.081618,0.337801,3.593697,0.213506
./micronaut-conferences-x64-O2,408439744,0.902806,53785474.746689,0.318558,3.528351,0.244223
./jmh-x64-prof,193065472,0.921121,20723848.852916,0.336185,3.529462,0.232087
./jmh-x64-O2,182995072,0.918480,20287912.341268,0.333517,3.475982,0.260255
./jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
./quarkus-tika-x64-prof,967948864,0.944917,72968361.501444,0.362719,3.459150,0.227985
./quarkus-tika-x64-O2,926960768,0.943126,72119472.757614,0.360535,3.394122,0.253565
./quarkus-tika-x64-O3,1221086336,0.949766,84043217.983911,0.368826,3.353569,0.251991
./fork-join-pool-x64-prof,61340352,0.886895,9363871.146831,0.304645,3.628579,0.255636
./fork-join-pool-x64-O2,56641152,0.883681,8885259.684762,0.301966,3.572534,0.279775
./fork-join-pool-x64-O3,66078336,0.908994,8159721.909338,0.324297,3.511788,0.276175
./micronaut-shopcart-x64-prof,610671488,0.931678,56920443.016980,0.347349,3.503480,0.212714
./micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
./micronaut-shopcart-x64-O2,595610816,0.926831,59386516.773784,0.342118,3.433921,0.243817
./micronaut-conferences-isolate-x64-prof,479476544,0.921661,51122172.910287,0.336736,3.591222,0.210853
./micronaut-conferences-isolate-x64-O2,408439744,0.905809,52161325.207759,0.321318,3.525332,0.242647
./micronaut-conferences-isolate-x64-O3,408439744,0.905643,52251378.214075,0.321164,3.529333,0.244664
./hello-world-x64-O3,66078336,0.908736,8182317.420051,0.324054,3.506378,0.282599
./hello-world-x64-O2,56641152,0.882060,9005553.686542,0.300630,3.571287,0.281467
./hello-world-x64-prof,61323584,0.887344,9325159.958339,0.305023,3.626705,0.256556
./spring-petclinic-x64-O3,2093501632,0.954174,131583094.204283,0.374647,3.363874,0.217218
./spring-petclinic-x64-O2,1428704448,0.948772,100255375.248543,0.367550,3.420916,0.212832
./spring-petclinic-x64-prof,1496724288,0.951550,99398794.422617,0.371148,3.495305,0.180696
