 --- results/merged_results_corpus_lzbench_1753711437.csv_results_corpus_entropy_1757091573.csv.csv --- 
memcpy                |     Compression speed  |  Decompression speed   | +0.95530	<===
memcpy                |     Compression speed  |  Original size         | -0.47117
memcpy                |     Compression speed  |  Compressed size       | -0.47117
memcpy                |     Compression speed  |  Ratio                 | +nan
memcpy                |     Compression speed  |  File-bits             | -0.47117
memcpy                |     Compression speed  |  Entropy               | +0.11751
memcpy                |     Compression speed  |  Chi-square            | -0.49016
memcpy                |     Compression speed  |  Mean                  | +0.10038
memcpy                |     Compression speed  |  Monte-Carlo-Pi        | -0.09645
memcpy                |     Compression speed  |  Serial-Correlation    | +0.13585
memcpy                |   Decompression speed  |  Original size         | -0.47579
memcpy                |   Decompression speed  |  Compressed size       | -0.47579
memcpy                |   Decompression speed  |  Ratio                 | +nan
memcpy                |   Decompression speed  |  File-bits             | -0.47579
memcpy                |   Decompression speed  |  Entropy               | +0.08185
memcpy                |   Decompression speed  |  Chi-square            | -0.49427
memcpy                |   Decompression speed  |  Mean                  | +0.06184
memcpy                |   Decompression speed  |  Monte-Carlo-Pi        | -0.03654
memcpy                |   Decompression speed  |  Serial-Correlation    | +0.11976
memcpy                |         Original size  |  Compressed size       | +1.00000	<===
memcpy                |         Original size  |  Ratio                 | +nan
memcpy                |         Original size  |  File-bits             | +1.00000	<===
memcpy                |         Original size  |  Entropy               | +0.68885	<---
memcpy                |         Original size  |  Chi-square            | +0.96045	<===
memcpy                |         Original size  |  Mean                  | +0.69798	<---
memcpy                |         Original size  |  Monte-Carlo-Pi        | -0.55580	<---
memcpy                |         Original size  |  Serial-Correlation    | -0.67645	<---
memcpy                |       Compressed size  |  Ratio                 | +nan
memcpy                |       Compressed size  |  File-bits             | +1.00000	<===
memcpy                |       Compressed size  |  Entropy               | +0.68885	<---
memcpy                |       Compressed size  |  Chi-square            | +0.96045	<===
memcpy                |       Compressed size  |  Mean                  | +0.69798	<---
memcpy                |       Compressed size  |  Monte-Carlo-Pi        | -0.55580	<---
memcpy                |       Compressed size  |  Serial-Correlation    | -0.67645	<---
memcpy                |                 Ratio  |  File-bits             | +nan
memcpy                |                 Ratio  |  Entropy               | +nan
memcpy                |                 Ratio  |  Chi-square            | +nan
memcpy                |                 Ratio  |  Mean                  | +nan
memcpy                |                 Ratio  |  Monte-Carlo-Pi        | +nan
memcpy                |                 Ratio  |  Serial-Correlation    | +nan
memcpy                |             File-bits  |  Entropy               | +0.68885	<---
memcpy                |             File-bits  |  Chi-square            | +0.96045	<===
memcpy                |             File-bits  |  Mean                  | +0.69798	<---
memcpy                |             File-bits  |  Monte-Carlo-Pi        | -0.55580	<---
memcpy                |             File-bits  |  Serial-Correlation    | -0.67645	<---
memcpy                |               Entropy  |  Chi-square            | +0.55225	<---
memcpy                |               Entropy  |  Mean                  | +0.99879	<===
memcpy                |               Entropy  |  Monte-Carlo-Pi        | -0.76864	<---
memcpy                |               Entropy  |  Serial-Correlation    | -0.59121	<---
memcpy                |            Chi-square  |  Mean                  | +0.55332	<---
memcpy                |            Chi-square  |  Monte-Carlo-Pi        | -0.42808
memcpy                |            Chi-square  |  Serial-Correlation    | -0.68573	<---
memcpy                |                  Mean  |  Monte-Carlo-Pi        | -0.77635	<---
memcpy                |                  Mean  |  Serial-Correlation    | -0.58444	<---
memcpy                |        Monte-Carlo-Pi  |  Serial-Correlation    | +0.05832
fastlz 0.5.0 -1       |     Compression speed  |  Decompression speed   | +0.96250	<===
fastlz 0.5.0 -1       |     Compression speed  |  Original size         | -0.38146
fastlz 0.5.0 -1       |     Compression speed  |  Compressed size       | -0.44873
fastlz 0.5.0 -1       |     Compression speed  |  Ratio                 | -0.95478	<===
fastlz 0.5.0 -1       |     Compression speed  |  File-bits             | -0.38146
fastlz 0.5.0 -1       |     Compression speed  |  Entropy               | -0.66432	<---
fastlz 0.5.0 -1       |     Compression speed  |  Chi-square            | -0.23821
fastlz 0.5.0 -1       |     Compression speed  |  Mean                  | -0.67549	<---
fastlz 0.5.0 -1       |     Compression speed  |  Monte-Carlo-Pi        | +0.96861	<===
fastlz 0.5.0 -1       |     Compression speed  |  Serial-Correlation    | -0.13365
fastlz 0.5.0 -1       |   Decompression speed  |  Original size         | -0.29016
fastlz 0.5.0 -1       |   Decompression speed  |  Compressed size       | -0.36967
fastlz 0.5.0 -1       |   Decompression speed  |  Ratio                 | -0.93212	<===
fastlz 0.5.0 -1       |   Decompression speed  |  File-bits             | -0.29016
fastlz 0.5.0 -1       |   Decompression speed  |  Entropy               | -0.52461	<---
fastlz 0.5.0 -1       |   Decompression speed  |  Chi-square            | -0.15219
fastlz 0.5.0 -1       |   Decompression speed  |  Mean                  | -0.53925	<---
fastlz 0.5.0 -1       |   Decompression speed  |  Monte-Carlo-Pi        | +0.92771	<===
fastlz 0.5.0 -1       |   Decompression speed  |  Serial-Correlation    | -0.24646
fastlz 0.5.0 -1       |         Original size  |  Compressed size       | +0.99561	<===
fastlz 0.5.0 -1       |         Original size  |  Ratio                 | +0.33794
fastlz 0.5.0 -1       |         Original size  |  File-bits             | +1.00000	<===
fastlz 0.5.0 -1       |         Original size  |  Entropy               | +0.68885	<---
fastlz 0.5.0 -1       |         Original size  |  Chi-square            | +0.96045	<===
fastlz 0.5.0 -1       |         Original size  |  Mean                  | +0.69798	<---
fastlz 0.5.0 -1       |         Original size  |  Monte-Carlo-Pi        | -0.55580	<---
fastlz 0.5.0 -1       |         Original size  |  Serial-Correlation    | -0.67645	<---
fastlz 0.5.0 -1       |       Compressed size  |  Ratio                 | +0.40161
fastlz 0.5.0 -1       |       Compressed size  |  File-bits             | +0.99561	<===
fastlz 0.5.0 -1       |       Compressed size  |  Entropy               | +0.70021	<---
fastlz 0.5.0 -1       |       Compressed size  |  Chi-square            | +0.94277	<===
fastlz 0.5.0 -1       |       Compressed size  |  Mean                  | +0.71141	<---
fastlz 0.5.0 -1       |       Compressed size  |  Monte-Carlo-Pi        | -0.61397	<---
fastlz 0.5.0 -1       |       Compressed size  |  Serial-Correlation    | -0.62650	<---
fastlz 0.5.0 -1       |                 Ratio  |  File-bits             | +0.33794
fastlz 0.5.0 -1       |                 Ratio  |  Entropy               | +0.65297	<---
fastlz 0.5.0 -1       |                 Ratio  |  Chi-square            | +0.24444
fastlz 0.5.0 -1       |                 Ratio  |  Mean                  | +0.65425	<---
fastlz 0.5.0 -1       |                 Ratio  |  Monte-Carlo-Pi        | -0.94734	<===
fastlz 0.5.0 -1       |                 Ratio  |  Serial-Correlation    | +0.09709
fastlz 0.5.0 -1       |             File-bits  |  Entropy               | +0.68885	<---
fastlz 0.5.0 -1       |             File-bits  |  Chi-square            | +0.96045	<===
fastlz 0.5.0 -1       |             File-bits  |  Mean                  | +0.69798	<---
fastlz 0.5.0 -1       |             File-bits  |  Monte-Carlo-Pi        | -0.55580	<---
fastlz 0.5.0 -1       |             File-bits  |  Serial-Correlation    | -0.67645	<---
fastlz 0.5.0 -1       |               Entropy  |  Chi-square            | +0.55225	<---
fastlz 0.5.0 -1       |               Entropy  |  Mean                  | +0.99879	<===
fastlz 0.5.0 -1       |               Entropy  |  Monte-Carlo-Pi        | -0.76864	<---
fastlz 0.5.0 -1       |               Entropy  |  Serial-Correlation    | -0.59121	<---
fastlz 0.5.0 -1       |            Chi-square  |  Mean                  | +0.55332	<---
fastlz 0.5.0 -1       |            Chi-square  |  Monte-Carlo-Pi        | -0.42808
fastlz 0.5.0 -1       |            Chi-square  |  Serial-Correlation    | -0.68573	<---
fastlz 0.5.0 -1       |                  Mean  |  Monte-Carlo-Pi        | -0.77635	<---
fastlz 0.5.0 -1       |                  Mean  |  Serial-Correlation    | -0.58444	<---
fastlz 0.5.0 -1       |        Monte-Carlo-Pi  |  Serial-Correlation    | +0.05832
fastlz 0.5.0 -2       |     Compression speed  |  Decompression speed   | +0.95873	<===
fastlz 0.5.0 -2       |     Compression speed  |  Original size         | -0.36626
fastlz 0.5.0 -2       |     Compression speed  |  Compressed size       | -0.42825
fastlz 0.5.0 -2       |     Compression speed  |  Ratio                 | -0.94039	<===
fastlz 0.5.0 -2       |     Compression speed  |  File-bits             | -0.36626
fastlz 0.5.0 -2       |     Compression speed  |  Entropy               | -0.67975	<---
fastlz 0.5.0 -2       |     Compression speed  |  Chi-square            | -0.22286
fastlz 0.5.0 -2       |     Compression speed  |  Mean                  | -0.68842	<---
fastlz 0.5.0 -2       |     Compression speed  |  Monte-Carlo-Pi        | +0.97382	<===
fastlz 0.5.0 -2       |     Compression speed  |  Serial-Correlation    | -0.12368
fastlz 0.5.0 -2       |   Decompression speed  |  Original size         | -0.23950
fastlz 0.5.0 -2       |   Decompression speed  |  Compressed size       | -0.31367
fastlz 0.5.0 -2       |   Decompression speed  |  Ratio                 | -0.92918	<===
fastlz 0.5.0 -2       |   Decompression speed  |  File-bits             | -0.23950
fastlz 0.5.0 -2       |   Decompression speed  |  Entropy               | -0.47723
fastlz 0.5.0 -2       |   Decompression speed  |  Chi-square            | -0.11841
fastlz 0.5.0 -2       |   Decompression speed  |  Mean                  | -0.48877
fastlz 0.5.0 -2       |   Decompression speed  |  Monte-Carlo-Pi        | +0.90910	<===
fastlz 0.5.0 -2       |   Decompression speed  |  Serial-Correlation    | -0.30514
fastlz 0.5.0 -2       |         Original size  |  Compressed size       | +0.99637	<===
fastlz 0.5.0 -2       |         Original size  |  Ratio                 | +0.28258
fastlz 0.5.0 -2       |         Original size  |  File-bits             | +1.00000	<===
fastlz 0.5.0 -2       |         Original size  |  Entropy               | +0.68885	<---
fastlz 0.5.0 -2       |         Original size  |  Chi-square            | +0.96045	<===
fastlz 0.5.0 -2       |         Original size  |  Mean                  | +0.69798	<---
fastlz 0.5.0 -2       |         Original size  |  Monte-Carlo-Pi        | -0.55580	<---
fastlz 0.5.0 -2       |         Original size  |  Serial-Correlation    | -0.67645	<---
fastlz 0.5.0 -2       |       Compressed size  |  Ratio                 | +0.34216
fastlz 0.5.0 -2       |       Compressed size  |  File-bits             | +0.99637	<===
fastlz 0.5.0 -2       |       Compressed size  |  Entropy               | +0.69892	<---
fastlz 0.5.0 -2       |       Compressed size  |  Chi-square            | +0.94627	<===
fastlz 0.5.0 -2       |       Compressed size  |  Mean                  | +0.70976	<---
fastlz 0.5.0 -2       |       Compressed size  |  Monte-Carlo-Pi        | -0.60980	<---
fastlz 0.5.0 -2       |       Compressed size  |  Serial-Correlation    | -0.63114	<---
fastlz 0.5.0 -2       |                 Ratio  |  File-bits             | +0.28258
fastlz 0.5.0 -2       |                 Ratio  |  Entropy               | +0.61033	<---
fastlz 0.5.0 -2       |                 Ratio  |  Chi-square            | +0.20562
fastlz 0.5.0 -2       |                 Ratio  |  Mean                  | +0.60912	<---
fastlz 0.5.0 -2       |                 Ratio  |  Monte-Carlo-Pi        | -0.91825	<===
fastlz 0.5.0 -2       |                 Ratio  |  Serial-Correlation    | +0.13424
fastlz 0.5.0 -2       |             File-bits  |  Entropy               | +0.68885	<---
fastlz 0.5.0 -2       |             File-bits  |  Chi-square            | +0.96045	<===
fastlz 0.5.0 -2       |             File-bits  |  Mean                  | +0.69798	<---
fastlz 0.5.0 -2       |             File-bits  |  Monte-Carlo-Pi        | -0.55580	<---
fastlz 0.5.0 -2       |             File-bits  |  Serial-Correlation    | -0.67645	<---
fastlz 0.5.0 -2       |               Entropy  |  Chi-square            | +0.55225	<---
fastlz 0.5.0 -2       |               Entropy  |  Mean                  | +0.99879	<===
fastlz 0.5.0 -2       |               Entropy  |  Monte-Carlo-Pi        | -0.76864	<---
fastlz 0.5.0 -2       |               Entropy  |  Serial-Correlation    | -0.59121	<---
fastlz 0.5.0 -2       |            Chi-square  |  Mean                  | +0.55332	<---
fastlz 0.5.0 -2       |            Chi-square  |  Monte-Carlo-Pi        | -0.42808
fastlz 0.5.0 -2       |            Chi-square  |  Serial-Correlation    | -0.68573	<---
fastlz 0.5.0 -2       |                  Mean  |  Monte-Carlo-Pi        | -0.77635	<---
fastlz 0.5.0 -2       |                  Mean  |  Serial-Correlation    | -0.58444	<---
fastlz 0.5.0 -2       |        Monte-Carlo-Pi  |  Serial-Correlation    | +0.05832
