,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
0,memcpy,20053.49,20437.89,66779993,66779993,100.0,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
1,fastlz 0.5.0 -1,268.59,646.84,66779993,41645468,62.36,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
2,fastlz 0.5.0 -2,272.41,654.24,66779993,39609275,59.31,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
3,kanzi 2.3 -1,238.61,1335.78,66779993,29908312,44.79,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
4,kanzi 2.3 -2,200.03,541.16,66779993,26144928,39.15,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
5,kanzi 2.3 -3,132.39,570.46,66779993,25258856,37.82,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
6,lizard 2.1 -10,539.48,3031.02,66779993,39167058,58.65,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
7,lizard 2.1 -11,329.77,2911.19,66779993,34684245,51.94,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
8,lizard 2.1 -12,184.42,3049.23,66779993,32508170,48.68,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
9,lizard 2.1 -13,115.46,3063.43,66779993,31681273,47.44,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
10,lizard 2.1 -14,106.61,3083.47,66779993,31194888,46.71,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
11,lz4 1.10.0,641.31,4193.35,66779993,39064970,58.5,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
12,lz4 1.10.0 --fast -3,786.42,4103.7,66779993,43345580,64.91,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
13,lz4 1.10.0 --fast -17,1613.37,5852.56,66779993,55904756,83.71,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
14,lzav 4.22 -1,424.68,2306.54,66779993,32350317,48.44,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
15,lzav 4.22 -2,78.66,2133.1,66779993,27820439,41.66,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
16,lzf 3.6 -0,305.85,564.78,66779993,40662220,60.89,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
17,lzf 3.6 -1,301.76,556.37,66779993,39913150,59.77,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
18,lzfse 2017-03-08,83.5,722.28,66779993,26280529,39.35,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
19,lzo1b 2.10 -1,191.51,576.49,66779993,38029700,56.95,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
20,lzo1c 2.10 -1,207.54,596.67,66779993,38909507,58.27,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
21,lzof 2.10 -1,176.92,537.53,66779993,38030174,56.95,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
22,lzo1x 2.10 -1,491.4,587.73,66779993,38029925,56.95,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
23,lzo1y 2.10 -1,498.23,586.95,66779993,38393880,57.49,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
24,lzsse4fast 2019-04-18,252.62,3926.83,66779993,33748553,50.54,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
25,lzsse8 2019-04-18 -1,18.59,4381.42,66779993,30641796,45.88,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
26,lzvn 2017-03-08,67.94,930.89,66779993,28672704,42.94,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
27,quicklz 1.5.0 -1,398.23,521.99,66779993,36547018,54.73,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
28,quicklz 1.5.0 -2,221.99,524.56,66779993,32144861,48.14,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
29,snappy 1.2.1,351.72,1045.86,66779993,39357498,58.94,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
30,zstd 1.5.7 -1,450.62,1306.87,66779993,30270043,45.33,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
31,zstd 1.5.7 -2,369.02,1239.06,66779993,27031977,40.48,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
32,zstd 1.5.7 -3,260.18,1179.19,66779993,25275096,37.85,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
33,zstd 1.5.7 -4,230.6,1168.29,66779993,24509255,36.7,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
34,zstd 1.5.7 -5,127.85,1120.13,66779993,23812404,35.66,micronaut-shopcart-x64-O3-text,534239944,0.965892,25061258.649195,0.391706,3.241837,0.209693
35,memcpy,27477.66,27858.32,10838809,10838809,100.0,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
36,fastlz 0.5.0 -1,258.64,622.4,10838809,6541337,60.35,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
37,fastlz 0.5.0 -2,261.79,618.53,10838809,6347503,58.56,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
38,kanzi 2.3 -1,223.53,1251.82,10838809,5023276,46.35,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
39,kanzi 2.3 -2,188.69,505.15,10838809,4369155,40.31,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
40,kanzi 2.3 -3,119.32,533.74,10838809,4263922,39.34,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
41,lizard 2.1 -10,517.97,2966.42,10838809,6281191,57.95,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
42,lizard 2.1 -11,304.28,2861.85,10838809,5668771,52.3,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
43,lizard 2.1 -12,171.15,3025.01,10838809,5337923,49.25,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
44,lizard 2.1 -13,108.17,3063.29,10838809,5204007,48.01,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
45,lizard 2.1 -14,100.77,3051.76,10838809,5123907,47.27,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
46,lz4 1.10.0,627.27,4244.11,10838809,6250234,57.67,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
47,lz4 1.10.0 --fast -3,768.8,4224.18,10838809,6918444,63.83,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
48,lz4 1.10.0 --fast -17,1572.16,6302.0,10838809,8882871,81.95,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
49,lzav 4.22 -1,433.95,2454.14,10838809,5452252,50.3,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
50,lzav 4.22 -2,83.47,2260.36,10838809,4743200,43.76,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
51,lzf 3.6 -0,316.43,558.81,10838809,6409230,59.13,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
52,lzf 3.6 -1,304.12,559.46,10838809,6292501,58.06,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
53,lzfse 2017-03-08,82.34,707.85,10838809,4317610,39.83,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
54,lzo1b 2.10 -1,189.72,576.94,10838809,6133797,56.59,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
55,lzo1c 2.10 -1,211.38,604.55,10838809,6174552,56.97,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
56,lzof 2.10 -1,183.39,542.4,10838809,6012153,55.47,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
57,lzo1x 2.10 -1,493.65,595.7,10838809,6041476,55.74,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
58,lzo1y 2.10 -1,499.8,588.4,10838809,6090729,56.19,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
59,lzsse4fast 2019-04-18,246.93,3890.05,10838809,5581778,51.5,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
60,lzsse8 2019-04-18 -1,11.96,4641.25,10838809,5047197,46.57,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
61,lzvn 2017-03-08,69.41,959.09,10838809,4665136,43.04,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
