,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
0,memcpy,15635.25,15667.07,7251944,7251944,100.0,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
1,fastlz 0.5.0 -1,97.42,451.25,7251944,6525733,89.99,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
2,fastlz 0.5.0 -2,164.02,442.45,7251944,6526165,89.99,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
3,kanzi 2.3 -1,113.42,1049.5,7251944,6091320,84.0,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
4,kanzi 2.3 -2,89.32,192.45,7251944,5588006,77.06,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
5,kanzi 2.3 -3,49.28,193.79,7251944,5664997,78.12,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
6,lizard 2.1 -10,295.82,2807.9,7251944,6792720,93.67,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
7,lizard 2.1 -11,104.83,1919.78,7251944,6132582,84.56,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
8,lizard 2.1 -12,80.81,1956.15,7251944,6049569,83.42,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
9,lizard 2.1 -13,51.88,1926.2,7251944,5971380,82.34,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
10,lizard 2.1 -14,48.19,1957.2,7251944,5934257,81.83,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
11,lz4 1.10.0,390.86,3222.66,7251944,6790273,93.63,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
12,lz4 1.10.0 --fast -3,699.41,3416.69,7251944,6930690,95.57,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
13,lz4 1.10.0 --fast -17,1444.86,8559.03,7251944,7183536,99.06,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
14,lzav 4.22 -1,296.9,1879.22,7251944,6225185,85.84,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
15,lzav 4.22 -2,44.5,1871.93,7251944,5831978,80.42,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
16,lzf 3.6 -0,179.56,410.93,7251944,6325572,87.23,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
17,lzf 3.6 -1,164.31,404.22,7251944,6280222,86.6,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
18,lzfse 2017-03-08,59.5,402.84,7251944,5441014,75.03,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
19,lzo1b 2.10 -1,66.37,481.51,7251944,6324232,87.21,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
20,lzo1c 2.10 -1,66.16,541.3,7251944,6285989,86.68,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
21,lzof 2.10 -1,62.75,440.01,7251944,6366762,87.79,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
22,lzo1x 2.10 -1,271.06,596.52,7251944,6469903,89.22,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
23,lzo1y 2.10 -1,274.6,630.56,7251944,6567084,90.56,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
24,lzsse4fast 2019-04-18,126.24,2205.01,7251944,6305407,86.95,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
25,lzsse8 2019-04-18 -1,21.0,3234.27,7251944,5826841,80.35,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
26,lzvn 2017-03-08,35.91,584.03,7251944,6011856,82.9,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
27,quicklz 1.5.0 -1,252.75,220.49,7251944,6498301,89.61,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
28,quicklz 1.5.0 -2,101.65,177.02,7251944,6121309,84.41,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
29,snappy 1.2.1,298.07,861.16,7251944,6437634,88.77,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
30,zstd 1.5.7 -1,256.26,614.9,7251944,6250010,86.18,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
31,zstd 1.5.7 -2,202.51,567.77,7251944,5804668,80.04,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
32,zstd 1.5.7 -3,126.54,525.43,7251944,5527504,76.22,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
33,zstd 1.5.7 -4,106.24,531.45,7251944,5396887,74.42,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
34,zstd 1.5.7 -5,63.43,601.28,7251944,5305353,73.16,sao,58015552,0.999764,18965.392433,0.49096,3.320611,0.063042
35,memcpy,16242.11,16271.86,33553445,33553445,100.0,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
36,fastlz 0.5.0 -1,460.41,951.98,33553445,6947358,20.71,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
37,fastlz 0.5.0 -2,395.57,986.2,33553445,6583289,19.62,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
38,kanzi 2.3 -1,134.43,1029.05,33553445,3555318,10.6,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
39,kanzi 2.3 -2,128.26,653.69,33553445,2800279,8.35,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
40,kanzi 2.3 -3,89.21,677.52,33553445,2745187,8.18,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
41,lizard 2.1 -10,605.24,3047.71,33553445,5545810,16.53,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
42,lizard 2.1 -11,608.11,3073.91,33553445,5340156,15.92,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
43,lizard 2.1 -12,197.24,2974.11,33553445,4808891,14.33,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
44,lizard 2.1 -13,118.03,3102.66,33553445,4468122,13.32,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
45,lizard 2.1 -14,98.47,3198.11,33553445,4192439,12.49,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
46,lz4 1.10.0,659.93,3553.23,33553445,5533040,16.49,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
47,lz4 1.10.0 --fast -3,709.6,3512.49,33553445,5684097,16.94,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
48,lz4 1.10.0 --fast -17,777.57,3229.58,33553445,7172731,21.38,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
49,lzav 4.22 -1,686.94,3381.59,33553445,4385381,13.07,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
50,lzav 4.22 -2,141.96,3992.79,33553445,3470259,10.34,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
51,lzf 3.6 -0,444.88,552.68,33553445,7263009,21.65,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
52,lzf 3.6 -1,470.97,579.17,33553445,6936021,20.67,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
53,lzfse 2017-03-08,126.56,1283.69,33553445,3221568,9.6,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
54,lzo1b 2.10 -1,386.08,857.16,33553445,5880843,17.53,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
55,lzo1c 2.10 -1,411.96,828.42,33553445,6215294,18.52,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
56,lzof 2.10 -1,374.5,855.23,33553445,6310179,18.81,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
57,lzo1x 2.10 -1,652.08,835.97,33553445,6282199,18.72,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
58,lzo1y 2.10 -1,649.92,847.21,33553445,6225466,18.55,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
59,lzsse4fast 2019-04-18,384.22,4897.76,33553445,5711408,17.02,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
60,lzsse8 2019-04-18 -1,14.66,5445.69,33553445,4558097,13.58,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
61,lzvn 2017-03-08,77.77,1224.62,33553445,4715644,14.05,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
62,quicklz 1.5.0 -1,544.3,818.4,33553445,6160636,18.36,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
