filename,0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
./bin/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug,1,345095040,0.911476,41476403.984259,0.326659,3.902284,0.161420
./bin/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0,1,345095808,0.911404,41509725.988841,0.326590,3.902175,0.161929
./bin/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1,1,249372992,0.921705,26573602.878722,0.336781,3.908191,0.150129
./bin/barista-native-image:helidon-hello-world-graalvm-linux-x64-O2/barista-native-image:helidon-hello-world-graalvm-linux-x64-O2,1,324407040,0.900546,43689093.942542,0.316510,3.900940,0.176912
./bin/barista-native-image:helidon-hello-world-graalvm-linux-x64-O3/barista-native-image:helidon-hello-world-graalvm-linux-x64-O3,1,448751040,0.884973,69635628.055203,0.303038,3.896748,0.192803
./bin/barista-native-image:helidon-hello-world-graalvm-linux-x64-Os/barista-native-image:helidon-hello-world-graalvm-linux-x64-Os,1,236942208,0.929353,22824197.289412,0.344816,3.903953,0.147920
./bin/barista-native-image:helidon-hello-world-graalvm-linux-x64-prof/barista-native-image:helidon-hello-world-graalvm-linux-x64-prof,1,520924992,0.876893,86343622.318829,0.296438,3.907724,0.191604
./bin/barista-native-image:micronaut-hello-world-graalvm-linux-x64-debug/barista-native-image:micronaut-hello-world-graalvm-linux-x64-debug,1,536016704,0.921222,57464343.075250,0.336288,3.899727,0.152185
./bin/barista-native-image:micronaut-hello-world-graalvm-linux-x64-O0/barista-native-image:micronaut-hello-world-graalvm-linux-x64-O0,1,536019648,0.920837,57740748.385075,0.335895,3.899971,0.152617
./bin/barista-native-image:micronaut-hello-world-graalvm-linux-x64-O1/barista-native-image:micronaut-hello-world-graalvm-linux-x64-O1,1,406750272,0.931156,38198015.277582,0.346776,3.903779,0.145293
./bin/barista-native-image:micronaut-hello-world-graalvm-linux-x64-O2/barista-native-image:micronaut-hello-world-graalvm-linux-x64-O2,1,526791168,0.907815,65874665.788132,0.323189,3.901615,0.170168
./bin/barista-native-image:micronaut-hello-world-graalvm-linux-x64-O3/barista-native-image:micronaut-hello-world-graalvm-linux-x64-O3,1,724920512,0.892229,105579539.679328,0.309184,3.897692,0.187570
./bin/barista-native-image:micronaut-hello-world-graalvm-linux-x64-Os/barista-native-image:micronaut-hello-world-graalvm-linux-x64-Os,1,386867072,0.937044,33270176.465824,0.353372,3.906702,0.140988
./bin/barista-native-image:micronaut-hello-world-graalvm-linux-x64-prof/barista-native-image:micronaut-hello-world-graalvm-linux-x64-prof,1,822573632,0.886572,125918105.918983,0.304374,3.901536,0.185231
./bin/barista-native-image:micronaut-shopcart-graalvm-linux-x64-debug/barista-native-image:micronaut-shopcart-graalvm-linux-x64-debug,1,599582272,0.921728,63874335.732404,0.336804,3.898946,0.149831
./bin/barista-native-image:micronaut-shopcart-graalvm-linux-x64-O0/barista-native-image:micronaut-shopcart-graalvm-linux-x64-O0,1,599593280,0.921758,63851233.140110,0.336835,3.901279,0.149655
