Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy,9864.03,10021.60,43136880,43136880,100.00,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
fastlz 0.5.0 -1,178.09,410.29,43136880,21869512,50.70,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
fastlz 0.5.0 -2,166.51,393.22,43136880,21507550,49.86,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
kanzi 2.3 -1,117.74,648.80,43136880,17417794,40.38,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
kanzi 2.3 -2,100.60,293.23,43136880,14020674,32.50,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
kanzi 2.3 -3,74.67,303.55,43136880,13699096,31.76,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lizard 2.1 -10,277.34,1256.46,43136880,21409237,49.63,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lizard 2.1 -11,188.31,1191.91,43136880,19981174,46.32,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lizard 2.1 -12,98.19,1283.17,43136880,18628390,43.18,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lizard 2.1 -13,62.16,1287.52,43136880,18240577,42.29,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lizard 2.1 -14,56.67,1293.21,43136880,18046148,41.83,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lz4 1.10.0,362.80,2014.94,43136880,21393146,49.59,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lz4 1.10.0 --fast -3,394.84,2005.51,43136880,22798405,52.85,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lz4 1.10.0 --fast -17,583.24,2226.49,43136880,30054022,69.67,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lzav 4.22 -1,247.07,1258.21,43136880,18060299,41.87,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lzav 4.22 -2,53.63,1248.63,43136880,15913035,36.89,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lzf 3.6 -0,205.61,377.29,43136880,21767767,50.46,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lzf 3.6 -1,218.59,378.08,43136880,21432285,49.68,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lzfse 2017-03-08,49.71,383.36,43136880,14193593,32.90,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lzo1b 2.10 -1,125.99,402.53,43136880,20688638,47.96,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lzo1c 2.10 -1,156.18,403.89,43136880,20834793,48.30,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lzof 2.10 -1,133.14,391.83,43136880,20139920,46.69,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lzo1x 2.10 -1,318.66,393.88,43136880,20390506,47.27,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lzo1y 2.10 -1,322.13,396.25,43136880,20137077,46.68,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lzsse4fast 2019-04-18,179.29,1962.90,43136880,19626231,45.50,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lzsse8 2019-04-18 -1,12.63,2259.61,43136880,17941537,41.59,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
lzvn 2017-03-08,41.17,517.10,43136880,16106435,37.34,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
quicklz 1.5.0 -1,268.41,369.36,43136880,19181746,44.47,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
quicklz 1.5.0 -2,134.16,338.31,43136880,17998136,41.72,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
snappy 1.2.1,252.51,610.90,43136880,20954775,48.58,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
zstd 1.5.7 -1,233.56,701.15,43136880,15301075,35.47,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
zstd 1.5.7 -2,197.91,657.95,43136880,14306911,33.17,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
zstd 1.5.7 -3,147.08,623.89,43136880,13498330,31.29,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
zstd 1.5.7 -4,145.17,617.83,43136880,13273764,30.77,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
zstd 1.5.7 -5,79.90,615.97,43136880,12921995,29.96,./barista-native-image:helidon-hello-world-graalvm-linux-x64-debug/barista-native-image:helidon-hello-world-graalvm-linux-x64-debug
memcpy,9845.51,10043.51,43136976,43136976,100.00,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
fastlz 0.5.0 -1,178.12,410.15,43136976,21873975,50.71,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
fastlz 0.5.0 -2,166.62,393.29,43136976,21513217,49.87,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
kanzi 2.3 -1,118.02,645.47,43136976,17421092,40.39,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
kanzi 2.3 -2,100.80,293.37,43136976,14023987,32.51,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
kanzi 2.3 -3,74.87,303.76,43136976,13699983,31.76,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lizard 2.1 -10,276.86,1256.77,43136976,21409987,49.63,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lizard 2.1 -11,186.68,1191.06,43136976,19987204,46.33,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lizard 2.1 -12,97.28,1284.20,43136976,18631851,43.19,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lizard 2.1 -13,61.52,1290.45,43136976,18242109,42.29,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lizard 2.1 -14,56.16,1292.77,43136976,18047129,41.84,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lz4 1.10.0,362.44,2015.24,43136976,21392227,49.59,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lz4 1.10.0 --fast -3,394.74,2004.76,43136976,22805862,52.87,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lz4 1.10.0 --fast -17,584.20,2225.54,43136976,30092461,69.76,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lzav 4.22 -1,245.00,1253.58,43136976,18061650,41.87,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lzav 4.22 -2,51.33,1241.94,43136976,15916477,36.90,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lzf 3.6 -0,204.75,376.81,43136976,21772271,50.47,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lzf 3.6 -1,217.53,377.95,43136976,21437418,49.70,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lzfse 2017-03-08,49.66,383.17,43136976,14191805,32.90,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lzo1b 2.10 -1,125.70,402.63,43136976,20690650,47.97,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lzo1c 2.10 -1,155.94,404.15,43136976,20836024,48.30,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lzof 2.10 -1,133.28,391.90,43136976,20139650,46.69,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lzo1x 2.10 -1,318.22,393.82,43136976,20391323,47.27,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lzo1y 2.10 -1,321.86,396.00,43136976,20138882,46.69,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lzsse4fast 2019-04-18,178.12,1959.01,43136976,19633576,45.51,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lzsse8 2019-04-18 -1,12.90,2256.47,43136976,17944578,41.60,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
lzvn 2017-03-08,41.06,516.72,43136976,16106559,37.34,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
quicklz 1.5.0 -1,268.42,369.54,43136976,19184349,44.47,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
quicklz 1.5.0 -2,134.37,339.00,43136976,18005617,41.74,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
snappy 1.2.1,252.46,610.21,43136976,20954262,48.58,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
zstd 1.5.7 -1,235.62,700.40,43136976,15313132,35.50,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
zstd 1.5.7 -2,199.71,658.38,43136976,14307991,33.17,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
zstd 1.5.7 -3,146.86,623.62,43136976,13497103,31.29,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
zstd 1.5.7 -4,145.41,617.52,43136976,13271724,30.77,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
zstd 1.5.7 -5,80.06,616.47,43136976,12926224,29.97,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O0/barista-native-image:helidon-hello-world-graalvm-linux-x64-O0
memcpy,10795.90,10126.12,31171624,31171624,100.00,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
fastlz 0.5.0 -1,178.09,414.29,31171624,15474387,49.64,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
fastlz 0.5.0 -2,166.51,397.75,31171624,15178275,48.69,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
kanzi 2.3 -1,115.77,625.33,31171624,12090477,38.79,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
kanzi 2.3 -2,99.59,296.17,31171624,9784314,31.39,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
kanzi 2.3 -3,75.43,307.02,31171624,9537067,30.60,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lizard 2.1 -10,276.99,1247.23,31171624,15053934,48.29,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lizard 2.1 -11,189.58,1191.30,31171624,13965795,44.80,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lizard 2.1 -12,98.32,1293.35,31171624,12932666,41.49,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lizard 2.1 -13,62.24,1302.26,31171624,12630008,40.52,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lizard 2.1 -14,56.65,1303.19,31171624,12471623,40.01,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lz4 1.10.0,360.24,1996.84,31171624,15042562,48.26,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lz4 1.10.0 --fast -3,390.34,1979.46,31171624,16057420,51.51,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lz4 1.10.0 --fast -17,573.25,2172.15,31171624,21270615,68.24,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lzav 4.22 -1,248.95,1263.77,31171624,12406640,39.80,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lzav 4.22 -2,56.35,1289.77,31171624,10922260,35.04,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lzf 3.6 -0,204.89,381.92,31171624,15396224,49.39,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lzf 3.6 -1,218.21,382.96,31171624,15144284,48.58,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lzfse 2017-03-08,50.22,394.30,31171624,9926806,31.85,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lzo1b 2.10 -1,128.53,405.11,31171624,14526426,46.60,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lzo1c 2.10 -1,159.52,404.50,31171624,14704168,47.17,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lzof 2.10 -1,135.94,395.02,31171624,14287457,45.83,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lzo1x 2.10 -1,317.49,389.66,31171624,14430943,46.30,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lzo1y 2.10 -1,321.20,391.50,31171624,14265183,45.76,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lzsse4fast 2019-04-18,176.75,2031.23,31171624,13773597,44.19,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lzsse8 2019-04-18 -1,13.00,2355.26,31171624,12440800,39.91,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
lzvn 2017-03-08,41.81,521.98,31171624,11558092,37.08,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
quicklz 1.5.0 -1,268.00,374.73,31171624,13623923,43.71,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
quicklz 1.5.0 -2,135.94,348.41,31171624,12635805,40.54,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
snappy 1.2.1,252.37,617.65,31171624,14699810,47.16,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
zstd 1.5.7 -1,235.64,707.64,31171624,10639356,34.13,./barista-native-image:helidon-hello-world-graalvm-linux-x64-O1/barista-native-image:helidon-hello-world-graalvm-linux-x64-O1
