filename,0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
./embedded-js-graalvm-linux-x64-O0.tar,1,1077002240,0.915935,123055140.857193,0.330990,3.544086,0.217289
./embedded-js-graalvm-linux-x64-O1.tar,1,927006720,0.929123,89582996.631009,0.344568,3.477562,0.224534
./embedded-js-graalvm-linux-x64-O2.tar,1,1123123200,0.934217,100856002.244051,0.350167,3.439219,0.223089
./embedded-js-graalvm-linux-x64-O3.tar,1,1398865920,0.941102,112654500.062443,0.358109,3.402638,0.226275
./embedded-js-graalvm-linux-x64-Os.tar,1,823214080,0.923628,85607514.215182,0.338761,3.521176,0.223152
./embedded-js-graalvm-linux-x64-prof.tar,1,1176535040,0.937734,100087982.946046,0.354166,3.510392,0.185742
./embedded-js-graalvm-linux-x64-static-nolibc.tar,1,1123614720,0.934239,100867379.099047,0.350191,3.438411,0.221882
./embedded-js-graalvm-linux-x64-static.tar,1,81920,0.040257,80506.153564,0.004333,4.000000,0.425680
./fork-join-pool-graalvm-linux-x64-O0.tar,1,49397760,0.871905,8509054.492359,0.292481,3.605550,0.266957
./fork-join-pool-graalvm-linux-x64-O1.tar,1,44646400,0.869990,7801941.952366,0.290985,3.629219,0.295538
./fork-join-pool-graalvm-linux-x64-O2.tar,1,53575680,0.889789,7974905.243671,0.307093,3.552046,0.278323
./fork-join-pool-graalvm-linux-x64-O3.tar,1,65126400,0.910358,7924211.315431,0.325591,3.509316,0.280462
./fork-join-pool-graalvm-linux-x64-Os.tar,1,39895040,0.867825,7084001.236364,0.289307,3.681996,0.292367
./fork-join-pool-graalvm-linux-x64-prof.tar,1,419102720,0.933556,38007484.969153,0.349428,3.924299,0.107908
./fork-join-pool-graalvm-linux-x64-static-nolibc.tar,1,53575680,0.892087,7812962.092321,0.309061,3.554752,0.280127
./fork-join-pool-graalvm-linux-x64-static.tar,1,81920,0.042068,80430.829883,0.004565,4.000000,0.454730
./fork-join-pool-isolate-graalvm-linux-x64-O0.tar,1,49397760,0.871939,8506843.317825,0.292508,3.627165,0.267761
./fork-join-pool-isolate-graalvm-linux-x64-O1.tar,1,44646400,0.868850,7868159.130179,0.290100,3.621951,0.286002
./fork-join-pool-isolate-graalvm-linux-x64-O2.tar,1,53575680,0.895018,7606149.531309,0.311605,3.562048,0.275431
./fork-join-pool-isolate-graalvm-linux-x64-O3.tar,1,65126400,0.911315,7841432.162825,0.326504,3.502146,0.274695
./fork-join-pool-isolate-graalvm-linux-x64-Os.tar,1,40468480,0.866237,7269293.172049,0.288087,3.683323,0.301159
./fork-join-pool-isolate-graalvm-linux-x64-prof.tar,1,423198720,0.931353,39630833.581269,0.346992,3.925933,0.111467
./fork-join-pool-isolate-graalvm-linux-x64-static-nolibc.tar,1,53575680,0.893731,7697003.907417,0.310484,3.561221,0.276045
./fork-join-pool-isolate-graalvm-linux-x64-static.tar,1,81920,0.045359,80292.168018,0.004993,4.000000,0.447117
./grpc-dotnet-linux-x64-debug.tar,1,9994240,0.899315,1362217.523053,0.315406,3.905040,0.159430
./grpc-dotnet-linux-x64-release.tar,1,9994240,0.899034,1365926.698618,0.315155,3.901044,0.159833
./grpc-dotnet-linux-x64-sf.tar,1,787415040,0.942436,61996099.552436,0.359702,3.598334,0.155875
./grpc-dotnet-linux-x64-static-sf.tar,1,787415040,0.942436,61995903.135909,0.359703,3.598334,0.155874
./grpc-dotnet-linux-x64-static.tar,1,857456640,0.941003,69167326.165377,0.357991,3.579503,0.164782
./hello-isolate-graalvm-linux-x64-O0.tar,1,48824320,0.875913,8155121.502065,0.295654,3.629113,0.264789
./hello-isolate-graalvm-linux-x64-O1.tar,1,44646400,0.870414,7777272.593382,0.291315,3.619233,0.284785
./hello-isolate-graalvm-linux-x64-O2.tar,1,53002240,0.895513,7490148.085745,0.312039,3.565671,0.275140
./hello-isolate-graalvm-linux-x64-O3.tar,1,65126400,0.910397,7920825.347384,0.325628,3.511804,0.277799
./hello-isolate-graalvm-linux-x64-Os.tar,1,40468480,0.860971,7545737.102088,0.284095,3.684310,0.291510
./hello-isolate-graalvm-linux-x64-prof.tar,1,418856960,0.933158,38209032.550355,0.348985,3.925352,0.107935
./hello-isolate-graalvm-linux-x64-static-nolibc.tar,1,53002240,0.895255,7508198.707140,0.311813,3.564522,0.275998
./hello-isolate-graalvm-linux-x64-static.tar,1,81920,0.041308,80462.540820,0.004468,4.000000,0.442866
./hello-world-clang-linux-x64-static.tar,1,6799360,0.929576,652940.191562,0.345057,3.352643,0.311439
./hello-world-dotnet-linux-x64-debug.tar,1,68075520,0.965268,3251320.077834,0.390729,3.413840,0.188549
./hello-world-dotnet-linux-x64-release.tar,1,37765120,0.971566,1478799.597505,0.401058,3.431836,0.162655
./hello-world-dotnet-linux-x64-sf.tar,1,37765120,0.971565,1478844.715251,0.401057,3.431836,0.162658
./hello-world-dotnet-linux-x64-static-sf.tar,1,37765120,0.971567,1478774.268547,0.401059,3.431836,0.162655
./hello-world-dotnet-linux-x64-static.tar,1,37765120,0.971566,1478809.095921,0.401058,3.431836,0.162656
./hello-world-gcc-linux-x64-static.tar,1,6717440,0.929310,647465.440704,0.344770,3.362554,0.308781
./hello-world-graalvm-linux-x64-O0.tar,1,48824320,0.872234,8389367.012170,0.292740,3.629223,0.254790
./hello-world-graalvm-linux-x64-O1.tar,1,44154880,0.874637,7448699.504834,0.294638,3.632549,0.288867
./hello-world-graalvm-linux-x64-O2.tar,1,53002240,0.892364,7709981.801901,0.309300,3.568040,0.279191
./hello-world-graalvm-linux-x64-O3.tar,1,64552960,0.912675,7655647.171564,0.327812,3.502429,0.277858
./hello-world-graalvm-linux-x64-Os.tar,1,39895040,0.869534,6995295.804678,0.290630,3.652307,0.294997
./hello-world-graalvm-linux-x64-prof.tar,1,417300480,0.933975,37608988.749201,0.349896,3.924885,0.107455
./hello-world-graalvm-linux-x64-static-nolibc.tar,1,53002240,0.893972,7597806.877008,0.310693,3.561516,0.279498
./hello-world-graalvm-linux-x64-static.tar,1,81920,0.040544,80494.258008,0.004370,4.000000,0.444500
./jmh-native-graalvm-linux-x64-O0.tar,1,151633920,0.898821,20766619.870376,0.314965,3.556096,0.252495
./jmh-native-graalvm-linux-x64-O1.tar,1,139018240,0.906945,17544598.972043,0.322374,3.533210,0.264299
./jmh-native-graalvm-linux-x64-O2.tar,1,184074240,0.916749,20832138.425971,0.331794,3.471357,0.265551
./jmh-native-graalvm-linux-x64-O3.tar,1,236503040,0.932424,21807410.579557,0.348171,3.427813,0.257122
./jmh-native-graalvm-linux-x64-Os.tar,1,122798080,0.898783,16823669.412656,0.314931,3.572759,0.270880
./jmh-native-graalvm-linux-x64-prof.tar,1,185712640,0.925076,18953017.448725,0.340269,3.527409,0.226890
./jmh-native-graalvm-linux-x64-static-nolibc.tar,1,179896320,0.925308,18303585.274957,0.340512,3.463918,0.254972
./jmh-native-graalvm-linux-x64-static.tar,1,81920,0.040066,80514.084424,0.004309,4.000000,0.433821
./jq-clang-linux-x64-debug.tar,1,81920,0.035601,80696.602002,0.003748,4.000000,0.431093
./jq-clang-linux-x64-O0.tar,1,81920,0.034516,80740.278125,0.003613,4.000000,0.437155
./jq-clang-linux-x64-O1.tar,1,81920,0.034318,80748.220508,0.003589,4.000000,0.436754
./jq-clang-linux-x64-O2.tar,1,81920,0.034318,80748.220508,0.003589,4.000000,0.436754
./jq-clang-linux-x64-O3.tar,1,81920,0.034714,80732.336133,0.003638,4.000000,0.444287
./jq-clang-linux-x64-Of.tar,1,81920,0.034417,80744.249268,0.003601,4.000000,0.435254
./jq-clang-linux-x64-Og.tar,1,81920,0.034911,80724.394531,0.003662,4.000000,0.434596
./jq-clang-linux-x64-Os.tar,1,81920,0.034911,80724.394531,0.003662,4.000000,0.441287
