Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy,14826.23,14987.88,74451352,74451352,100.00,./micronaut-shopcart-x64-O2
fastlz 0.5.0 -1,148.26,404.74,74451352,42860798,57.57,./micronaut-shopcart-x64-O2
fastlz 0.5.0 -2,159.75,402.64,74451352,41766541,56.10,./micronaut-shopcart-x64-O2
kanzi 2.3 -1,142.26,785.56,74451352,34381439,46.18,./micronaut-shopcart-x64-O2
kanzi 2.3 -2,123.74,277.03,74451352,28649622,38.48,./micronaut-shopcart-x64-O2
kanzi 2.3 -3,81.63,284.63,74451352,28548023,38.34,./micronaut-shopcart-x64-O2
lizard 2.1 -10,330.47,2589.74,74451352,41664925,55.96,./micronaut-shopcart-x64-O2
lizard 2.1 -11,201.12,2678.88,74451352,38653517,51.92,./micronaut-shopcart-x64-O2
lizard 2.1 -12,113.66,2764.48,74451352,36516668,49.05,./micronaut-shopcart-x64-O2
lizard 2.1 -13,73.77,2700.79,74451352,35712729,47.97,./micronaut-shopcart-x64-O2
lizard 2.1 -14,67.19,2725.47,74451352,35249284,47.35,./micronaut-shopcart-x64-O2
lz4 1.10.0,384.31,2497.56,74451352,41286804,55.45,./micronaut-shopcart-x64-O2
lz4 1.10.0 --fast -3,467.61,2518.74,74451352,44638021,59.96,./micronaut-shopcart-x64-O2
lz4 1.10.0 --fast -17,813.46,3371.41,74451352,55552296,74.62,./micronaut-shopcart-x64-O2
lzav 4.22 -1,349.37,1668.21,74451352,38577197,51.82,./micronaut-shopcart-x64-O2
lzav 4.22 -2,59.07,1481.35,74451352,33540462,45.05,./micronaut-shopcart-x64-O2
lzf 3.6 -0,201.67,346.77,74451352,42136205,56.60,./micronaut-shopcart-x64-O2
lzf 3.6 -1,192.95,344.61,74451352,41626763,55.91,./micronaut-shopcart-x64-O2
lzfse 2017-03-08,61.70,451.97,74451352,28603330,38.42,./micronaut-shopcart-x64-O2
lzo1b 2.10 -1,107.12,380.34,74451352,40462808,54.35,./micronaut-shopcart-x64-O2
lzo1c 2.10 -1,117.88,393.88,74451352,40656824,54.61,./micronaut-shopcart-x64-O2
lzof 2.10 -1,107.04,362.87,74451352,39299764,52.79,./micronaut-shopcart-x64-O2
lzo1x 2.10 -1,304.69,404.59,74451352,39779694,53.43,./micronaut-shopcart-x64-O2
lzo1y 2.10 -1,306.78,409.13,74451352,39952782,53.66,./micronaut-shopcart-x64-O2
lzsse4fast 2019-04-18,178.62,1868.98,74451352,40011881,53.74,./micronaut-shopcart-x64-O2
lzsse8 2019-04-18 -1,13.03,2621.78,74451352,35295982,47.41,./micronaut-shopcart-x64-O2
lzvn 2017-03-08,40.93,564.75,74451352,31427665,42.21,./micronaut-shopcart-x64-O2
quicklz 1.5.0 -1,258.03,302.58,74451352,38378616,51.55,./micronaut-shopcart-x64-O2
quicklz 1.5.0 -2,128.41,289.16,74451352,35058970,47.09,./micronaut-shopcart-x64-O2
snappy 1.2.1,285.71,755.86,74451352,41535133,55.79,./micronaut-shopcart-x64-O2
zstd 1.5.7 -1,306.09,752.87,74451352,31740090,42.63,./micronaut-shopcart-x64-O2
zstd 1.5.7 -2,265.11,721.10,74451352,29429189,39.53,./micronaut-shopcart-x64-O2
zstd 1.5.7 -3,194.41,687.90,74451352,27973073,37.57,./micronaut-shopcart-x64-O2
zstd 1.5.7 -4,167.62,685.09,74451352,27653583,37.14,./micronaut-shopcart-x64-O2
zstd 1.5.7 -5,93.15,669.98,74451352,27092072,36.39,./micronaut-shopcart-x64-O2
memcpy,14933.80,14896.50,74516912,74516912,100.00,./micronaut-shopcart-x64-static-nolibc
fastlz 0.5.0 -1,154.63,408.83,74516912,42851368,57.51,./micronaut-shopcart-x64-static-nolibc
fastlz 0.5.0 -2,159.72,403.34,74516912,41756921,56.04,./micronaut-shopcart-x64-static-nolibc
kanzi 2.3 -1,145.02,789.86,74516912,34353533,46.10,./micronaut-shopcart-x64-static-nolibc
kanzi 2.3 -2,120.29,278.57,74516912,28620025,38.41,./micronaut-shopcart-x64-static-nolibc
kanzi 2.3 -3,80.72,285.38,74516912,28543043,38.30,./micronaut-shopcart-x64-static-nolibc
lizard 2.1 -10,330.58,2586.37,74516912,41640797,55.88,./micronaut-shopcart-x64-static-nolibc
lizard 2.1 -11,195.19,2685.21,74516912,38639447,51.85,./micronaut-shopcart-x64-static-nolibc
lizard 2.1 -12,108.95,2763.55,74516912,36510664,49.00,./micronaut-shopcart-x64-static-nolibc
lizard 2.1 -13,70.09,2710.87,74516912,35711426,47.92,./micronaut-shopcart-x64-static-nolibc
lizard 2.1 -14,65.72,2734.94,74516912,35252539,47.31,./micronaut-shopcart-x64-static-nolibc
lz4 1.10.0,385.57,2500.02,74516912,41285150,55.40,./micronaut-shopcart-x64-static-nolibc
lz4 1.10.0 --fast -3,469.74,2527.26,74516912,44627957,59.89,./micronaut-shopcart-x64-static-nolibc
lz4 1.10.0 --fast -17,815.23,3367.51,74516912,55568070,74.57,./micronaut-shopcart-x64-static-nolibc
lzav 4.22 -1,338.33,1672.39,74516912,38575223,51.77,./micronaut-shopcart-x64-static-nolibc
lzav 4.22 -2,59.09,1477.56,74516912,33559971,45.04,./micronaut-shopcart-x64-static-nolibc
lzf 3.6 -0,201.56,347.74,74516912,42133244,56.54,./micronaut-shopcart-x64-static-nolibc
lzf 3.6 -1,193.10,345.28,74516912,41624507,55.86,./micronaut-shopcart-x64-static-nolibc
lzfse 2017-03-08,61.78,453.43,74516912,28587401,38.36,./micronaut-shopcart-x64-static-nolibc
lzo1b 2.10 -1,107.26,382.75,74516912,40449742,54.28,./micronaut-shopcart-x64-static-nolibc
lzo1c 2.10 -1,118.04,395.58,74516912,40639696,54.54,./micronaut-shopcart-x64-static-nolibc
lzof 2.10 -1,107.42,363.72,74516912,39286075,52.72,./micronaut-shopcart-x64-static-nolibc
lzo1x 2.10 -1,308.37,405.67,74516912,39774044,53.38,./micronaut-shopcart-x64-static-nolibc
lzo1y 2.10 -1,309.22,410.48,74516912,39944916,53.61,./micronaut-shopcart-x64-static-nolibc
lzsse4fast 2019-04-18,179.28,1878.16,74516912,39971676,53.64,./micronaut-shopcart-x64-static-nolibc
lzsse8 2019-04-18 -1,13.04,2615.26,74516912,35292104,47.36,./micronaut-shopcart-x64-static-nolibc
lzvn 2017-03-08,41.01,566.95,74516912,31407609,42.15,./micronaut-shopcart-x64-static-nolibc
quicklz 1.5.0 -1,260.52,302.33,74516912,38359673,51.48,./micronaut-shopcart-x64-static-nolibc
quicklz 1.5.0 -2,134.62,291.59,74516912,35030204,47.01,./micronaut-shopcart-x64-static-nolibc
snappy 1.2.1,285.39,757.47,74516912,41524169,55.72,./micronaut-shopcart-x64-static-nolibc
zstd 1.5.7 -1,307.69,755.13,74516912,31711580,42.56,./micronaut-shopcart-x64-static-nolibc
zstd 1.5.7 -2,264.99,721.54,74516912,29398914,39.45,./micronaut-shopcart-x64-static-nolibc
zstd 1.5.7 -3,190.00,689.35,74516912,27962850,37.53,./micronaut-shopcart-x64-static-nolibc
zstd 1.5.7 -4,163.83,687.04,74516912,27648023,37.10,./micronaut-shopcart-x64-static-nolibc
zstd 1.5.7 -5,93.21,671.00,74516912,27099074,36.37,./micronaut-shopcart-x64-static-nolibc
memcpy,14848.32,14908.19,76333928,76333928,100.00,./micronaut-shopcart-x64-prof
fastlz 0.5.0 -1,166.45,431.92,76333928,41301361,54.11,./micronaut-shopcart-x64-prof
fastlz 0.5.0 -2,174.57,428.58,76333928,40350594,52.86,./micronaut-shopcart-x64-prof
kanzi 2.3 -1,141.55,771.45,76333928,33252361,43.56,./micronaut-shopcart-x64-prof
kanzi 2.3 -2,120.11,289.58,76333928,27453386,35.96,./micronaut-shopcart-x64-prof
kanzi 2.3 -3,80.46,288.69,76333928,27675234,36.26,./micronaut-shopcart-x64-prof
lizard 2.1 -10,338.79,2558.05,76333928,40320075,52.82,./micronaut-shopcart-x64-prof
lizard 2.1 -11,215.42,2626.06,76333928,37547531,49.19,./micronaut-shopcart-x64-prof
lizard 2.1 -12,117.69,2718.06,76333928,35337393,46.29,./micronaut-shopcart-x64-prof
lizard 2.1 -13,76.80,2690.71,76333928,34490958,45.18,./micronaut-shopcart-x64-prof
lizard 2.1 -14,70.20,2722.77,76333928,34009166,44.55,./micronaut-shopcart-x64-prof
lz4 1.10.0,392.50,2471.28,76333928,39860108,52.22,./micronaut-shopcart-x64-prof
lz4 1.10.0 --fast -3,470.56,2502.36,76333928,42873274,56.17,./micronaut-shopcart-x64-prof
lz4 1.10.0 --fast -17,758.16,3113.92,76333928,53111136,69.58,./micronaut-shopcart-x64-prof
lzav 4.22 -1,361.70,1697.45,76333928,37361260,48.94,./micronaut-shopcart-x64-prof
lzav 4.22 -2,64.56,1525.05,76333928,32509060,42.59,./micronaut-shopcart-x64-prof
lzf 3.6 -0,212.87,363.87,76333928,40764715,53.40,./micronaut-shopcart-x64-prof
lzf 3.6 -1,206.26,362.77,76333928,40234173,52.71,./micronaut-shopcart-x64-prof
lzfse 2017-03-08,64.59,472.78,76333928,27450472,35.96,./micronaut-shopcart-x64-prof
lzo1b 2.10 -1,115.57,402.50,76333928,39211284,51.37,./micronaut-shopcart-x64-prof
lzo1c 2.10 -1,128.59,415.73,76333928,39268797,51.44,./micronaut-shopcart-x64-prof
lzof 2.10 -1,116.09,386.03,76333928,37941288,49.70,./micronaut-shopcart-x64-prof
lzo1x 2.10 -1,319.74,430.91,76333928,38441922,50.36,./micronaut-shopcart-x64-prof
lzo1y 2.10 -1,321.67,435.25,76333928,38567183,50.52,./micronaut-shopcart-x64-prof
lzsse4fast 2019-04-18,190.98,1949.97,76333928,38676199,50.67,./micronaut-shopcart-x64-prof
lzsse8 2019-04-18 -1,12.75,2731.97,76333928,34298935,44.93,./micronaut-shopcart-x64-prof
lzvn 2017-03-08,42.13,591.72,76333928,30456302,39.90,./micronaut-shopcart-x64-prof
quicklz 1.5.0 -1,273.14,326.99,76333928,36960452,48.42,./micronaut-shopcart-x64-prof
quicklz 1.5.0 -2,141.60,312.49,76333928,33844039,44.34,./micronaut-shopcart-x64-prof
snappy 1.2.1,297.82,780.44,76333928,40055711,52.47,./micronaut-shopcart-x64-prof
zstd 1.5.7 -1,315.68,775.47,76333928,30245709,39.62,./micronaut-shopcart-x64-prof
zstd 1.5.7 -2,273.25,744.35,76333928,28214997,36.96,./micronaut-shopcart-x64-prof
zstd 1.5.7 -3,202.49,711.21,76333928,26913616,35.26,./micronaut-shopcart-x64-prof
zstd 1.5.7 -4,176.57,707.91,76333928,26653373,34.92,./micronaut-shopcart-x64-prof
zstd 1.5.7 -5,95.84,693.78,76333928,26082917,34.17,./micronaut-shopcart-x64-prof
