Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
./twelfth-night_TXT_FolgerShakespeare.txt,953720,0.989953,13252.009063,0.441061,4.000000,-0.033690
./titus-andronicus_TXT_FolgerShakespeare.txt,998072,0.991487,11755.453639,0.445736,4.000000,-0.046159
./the-winters-tale_TXT_FolgerShakespeare.txt,1192496,0.990905,15003.603870,0.443916,4.000000,-0.039864
./the-two-noble-kinsmen_TXT_FolgerShakespeare.txt,1178432,0.990215,15949.890706,0.441830,4.000000,-0.043901
./the-tempest_TXT_FolgerShakespeare.txt,826576,0.990250,11147.287243,0.441935,4.000000,-0.039973
./the-phoenix-and-turtle_TXT_FolgerShakespeare.txt,19728,0.991732,225.674169,0.446523,4.000000,-0.048695
./the-merchant-of-venice_TXT_FolgerShakespeare.txt,1002432,0.990710,12882.265375,0.443319,4.000000,-0.036908
./shakespeares-sonnets_TXT_FolgerShakespeare.txt,794176,0.992060,8725.056617,0.447592,4.000000,-0.025877
./richard-iii_TXT_FolgerShakespeare.txt,1452704,0.990123,19845.283873,0.441560,4.000000,-0.048402
./pericles_TXT_FolgerShakespeare.txt,906712,0.990447,11981.175924,0.442524,4.000000,-0.044381
./much-ado-about-nothing_TXT_FolgerShakespeare.txt,1022272,0.988851,15759.716772,0.437919,4.000000,-0.037229
./macbeth_TXT_FolgerShakespeare.txt,852304,0.990052,11726.802498,0.441351,4.000000,-0.044121
./loves-labors-lost_TXT_FolgerShakespeare.txt,1062624,0.989926,14805.504958,0.440981,4.000000,-0.040516
./king-john_TXT_FolgerShakespeare.txt,1004600,0.990643,13002.393092,0.443117,4.000000,-0.038760
./julius-caesar_TXT_FolgerShakespeare.txt,959880,0.990225,12978.377501,0.441860,4.000000,-0.049064
./henry-vi-part-3_TXT_FolgerShakespeare.txt,1217968,0.990718,15639.051433,0.443343,4.000000,-0.043728
./henry-vi-part-2_TXT_FolgerShakespeare.txt,1265456,0.990717,16250.374256,0.443340,4.000000,-0.044104
./henry-vi-part-1_TXT_FolgerShakespeare.txt,1089248,0.991512,12791.365643,0.445817,4.000000,-0.045326
./henry-v_TXT_FolgerShakespeare.txt,1259712,0.990844,15956.372707,0.443727,4.000000,-0.037619
./henry-iv-part-2_TXT_FolgerShakespeare.txt,1278864,0.990292,17171.705592,0.442062,4.000000,-0.036097
./henry-iv-part-1_TXT_FolgerShakespeare.txt,1167320,0.990047,16069.791869,0.441335,4.000000,-0.035066
./hamlet_TXT_FolgerShakespeare.txt,1462928,0.990562,19098.998526,0.442870,4.000000,-0.038824
./cymbeline_TXT_FolgerShakespeare.txt,1352576,0.991010,16822.203679,0.444239,4.000000,-0.043345
./coriolanus_TXT_FolgerShakespeare.txt,1369720,0.991007,17041.240838,0.444229,4.000000,-0.051440
